FileName,Well,Sample Description,Size [nt],Calibrated Conc. [pg/µl],Assigned Conc. [pg/µl],Peak Molarity [pmol/l],% Integrated Area,Peak Comment,Observations
2022-08-05 - 11.17.40.HSRNA,EL1,Electronic Ladder,25,700,700,82400,,,Lower Marker
2022-08-05 - 11.17.40.HSRNA,EL1,Electronic Ladder,200,189,,2770,5.98,,
2022-08-05 - 11.17.40.HSRNA,EL1,Electronic Ladder,500,638,,3760,20.25,,
2022-08-05 - 11.17.40.HSRNA,EL1,Electronic Ladder,1000,557,,1640,17.66,,
2022-08-05 - 11.17.40.HSRNA,EL1,Electronic Ladder,2000,580,,854,18.42,,
2022-08-05 - 11.17.40.HSRNA,EL1,Electronic Ladder,4000,634,,466,20.11,,
2022-08-05 - 11.17.40.HSRNA,EL1,Electronic Ladder,6000,554,,272,17.58,,
2022-08-05 - 11.17.40.HSRNA,A1,P1 B10,25,700,700,82400,,,Lower Marker
2022-08-05 - 11.17.40.HSRNA,A1,P1 B10,745,157,,619,100.00,,18S
2022-08-05 - 11.17.40.HSRNA,B1,P1 F1,25,700,700,82400,,,Lower Marker
2022-08-05 - 11.17.40.HSRNA,B1,P1 F1,588,192,,961,93.52,,18S
2022-08-05 - 11.17.40.HSRNA,B1,P1 F1,5842,13.3,,6.71,6.48,,28S
2022-08-05 - 11.17.40.HSRNA,C1,P2 12,25,700,700,82400,,,Lower Marker
2022-08-05 - 11.17.40.HSRNA,C1,P2 12,571,34.3,,177,100.00,,18S
2022-08-05 - 11.17.40.HSRNA,D1,P3 A4,25,700,700,82400,,,Lower Marker
2022-08-05 - 11.17.40.HSRNA,E1,P3 B11,25,700,700,82400,,,Lower Marker
2022-08-05 - 11.17.40.HSRNA,E1,P3 B11,688,24.9,,106,100.00,,18S
2022-08-05 - 11.17.40.HSRNA,F1,P3 D6,25,700,700,82400,,,Lower Marker
2022-08-05 - 11.17.40.HSRNA,G1,P3 F1,,,,,57.44,,
2022-08-05 - 11.17.40.HSRNA,G1,P3 F1,,,,,8.12,,
2022-08-05 - 11.17.40.HSRNA,G1,P3 F1,,,,,14.56,,
2022-08-05 - 11.17.40.HSRNA,G1,P3 F1,,,,,2.39,,
2022-08-05 - 11.17.40.HSRNA,G1,P3 F1,,,,,5.10,,
2022-08-05 - 11.17.40.HSRNA,G1,P3 F1,,,,,4.76,,
2022-08-05 - 11.17.40.HSRNA,G1,P3 F1,,,,,3.47,,
2022-08-05 - 11.17.40.HSRNA,G1,P3 F1,,,,,1.47,,
2022-08-05 - 11.17.40.HSRNA,G1,P3 F1,,,,,1.79,,
2022-08-05 - 11.17.40.HSRNA,G1,P3 F1,,,,,0.89,,
2022-08-05 - 11.17.40.HSRNA,H1,P3 H8,,,,,51.02,,
2022-08-05 - 11.17.40.HSRNA,H1,P3 H8,,,,,15.97,,
2022-08-05 - 11.17.40.HSRNA,H1,P3 H8,,,,,16.61,,
2022-08-05 - 11.17.40.HSRNA,H1,P3 H8,,,,,5.09,,
2022-08-05 - 11.17.40.HSRNA,H1,P3 H8,,,,,4.44,,
2022-08-05 - 11.17.40.HSRNA,H1,P3 H8,,,,,2.50,,
2022-08-05 - 11.17.40.HSRNA,H1,P3 H8,,,,,2.13,,
2022-08-05 - 11.17.40.HSRNA,H1,P3 H8,,,,,1.60,,
2022-08-05 - 11.17.40.HSRNA,H1,P3 H8,,,,,0.65,,
2022-08-05 - 11.17.40.HSRNA,A2,P4 C4,25,700,700,82400,,,Lower Marker
2022-08-05 - 11.17.40.HSRNA,A2,P4 C4,705,5.27,,22.0,100.00,,18S
